Adresse;x;y;Arrondissement
18 RUE JOUFFROY D'ABBANS;48.88654; 2.311022;75017
18 RUE PEREE;48.865068; 2.360688;75003
18 RUE VAUCQUELIN;48.84093; 2.34698;75005
18 RUE VAUQUELIN;48.84093; 2.34698;75005
18 RUE VULPIAN;48.831597; 2.346303;75013
18 RUE YVES TOUDIC;48.869827; 2.363964;75010
18/20 RUE COQUILLERE;48.86388; 2.342604;75001
180/240 RUE DES PYRENEES;48.867828; 2.396357;75020
184 RUE SAINT MAUR;48.871213; 2.372529;75010
184/192 RUE DE RIVOLI;48.863714; 2.332362;75001
188 BOULEVARD SAINT GERMAIN;48.854646; 2.330355;75007
19 AVENUE KLEBER/HOTEL LE PENINSULA;48.871009; 2.293316;75016
19 AVENUE KLEBER/THE PENINSULA;48.871009; 2.293316;75016
19 RUE CAPITAINE FERBER;48.866016; 2.40573;75020
19 RUE CHARLEMAGNE;48.854241; 2.359655;75004
19 RUE DE BEAUJOLAIS;48.869882; 2.33164;75002
19 RUE DE PALESTRO;48.865645; 2.351516;75002
19 RUE DU CAPITAINE FERBER;48.866016; 2.40573;75020
19 RUE GANNERON;48.88691; 2.327934;75018
19 RUE PALESTRO;48.865645; 2.351516;75002
19 VILLA RIBEROLLES;48.858173; 2.396804;75020
19/21/23 RUE DE BELLEVILLE;48.872794; 2.378965;75019
198/220 RUE DE LA CROIX NIVERT;48.836385; 2.289478;75015
1BIS PASSAGE DE LA FONDERIE;48.866986; 2.375579;75011
2 AU 19 RUE DU THEATRE;48.849693; 2.286013;75015
2 AU 59 RUE DE LILLE;48.8594; 2.326535;75007
2 AVENUE DEROULEDE;48.850371; 2.299478;75015
2 BOULEVARD BARBES;48.884039; 2.349696;75018
2 BOULEVARD DU PALAIS;48.856076; 2.346145;75001
2 PASSAGE RUELLE;48.886716; 2.359482;75018
2 PLACE D'ANVERS/LE GRAND COMPTOIR D'ANVERS;48.882015; 2.344954;75009
2 PLACE DES ABBESSES;48.884608; 2.338302;75018
2 PLACE DES PYRAMIDES;48.863961; 2.332599;75001
2 PLACE DES PYRAMIDES (HOTEL REGINA);48.863961; 2.332599;75001
2 PLACE DES PYRAMIDES/HOTEL REGINA;48.863961; 2.332599;75001
2 PLACE DES TERNES;48.878315; 2.297834;75017
